owner,lptoken,lpratio,amount1,amount2,token1,token2
smilekkkk.tp,5578237955,0.0007862420234202211,1745133360,675381,0.1745 TKT,0.0000 EOS
bbbbb5555555,105395,1.485522466536195e-08,32972,12,0.0000 TKT,0.0000 EOS
ge4tcmbxgqge,36094520255,0.005087453935921841,11292051706,4370122,1.1292 TKT,0.0004 EOS
kpkk1q512.m,781241240,0.00011011446594284316,244408747,94588,0.0244 TKT,0.0000 EOS
fulyfight.tp,12098216615,0.0017052206069172139,3784887196,1464784,0.3784 TKT,0.0001 EOS
guoshenglong,7892380990,0.001112416079995083,2469105382,955565,0.2469 TKT,0.0000 EOS
tuituizhu444,244349480,3.444059416731692e-05,76443929,29584,0.0076 TKT,0.0000 EOS
wangxinyi123,449241105,6.331967876740317e-05,140543599,54391,0.0140 TKT,0.0000 EOS
chenruicc.tp,236934380,3.339544993451531e-05,74124139,28686,0.0074 TKT,0.0000 EOS
eosairdorp11,113483977255,0.0159953506147526,35503088280,13740006,3.5503 TKT,0.0013 EOS
epic.game,12842568000,0.001810135518005485,4017755074,1554906,0.4017 TKT,0.0001 EOS
chaoyunfeng1,2231295075,0.0003144967942866421,698053310,270152,0.0698 TKT,0.0000 EOS
fajiaojun123,2349105285,0.00033110191917324456,734909846,284416,0.0734 TKT,0.0000 EOS
hxk123451234,7264231605,0.001023879619654612,2272590917,879512,0.2272 TKT,0.0000 EOS
jiulian12345,1238144080,0.0001745140516769095,387349294,149907,0.0387 TKT,0.0000 EOS
liuyicn12345,469230444285,0.06613713809650627,146797198073,56811801,14.6797 TKT,0.0056 EOS
qiucaoyin543,228924360,3.22664528599478e-05,71618231,27716,0.0071 TKT,0.0000 EOS
worldissobig,626426150,8.829357364683072e-05,195975356,75844,0.0195 TKT,0.0000 EOS
zhs123123.tp,16997194284,0.0023957221857737647,5317516214,2057925,0.5317 TKT,0.0002 EOS
333334444.tp,27450489945,0.003869094314789451,8587795311,3323552,0.8587 TKT,0.0003 EOS
fhs4skg1ld1y,2962749215,0.0004175938632378173,926886327,358713,0.0926 TKT,0.0000 EOS
handbagtiger,3187282295,0.0004492413735391189,997130761,385898,0.0997 TKT,0.0000 EOS
okbtothevip1,3585697865,0.0005053972898779229,1121773759,434136,0.1121 TKT,0.0000 EOS
wangloveshow,764142446,0.00010770442347046076,239059445,92518,0.0239 TKT,0.0000 EOS
jammy1212.tp,507160205,7.14832656824899e-05,158663398,61404,0.0158 TKT,0.0000 EOS
keyids112233,6717392590,0.0009468037012181563,2101514133,813304,0.2101 TKT,0.0000 EOS
lixiandeid11,13130292605,0.0018506897534913004,4107768768,1589742,0.4107 TKT,0.0001 EOS
my5555544444,207580,2.925800593990069e-08,64940,25,0.0000 TKT,0.0000 EOS
shakawjhsaga,142231487145,0.020047257422339912,44496652007,17220594,4.4496 TKT,0.0017 EOS
wll22galahad,6889043595,0.0009709975836918047,2155214584,834086,0.2155 TKT,0.0000 EOS
zk1122334455,31657776490,0.004462103346124234,9904031041,3832946,0.9904 TKT,0.0003 EOS
eosdaabs1332,2495637505,0.0003517553567064695,780751968,302157,0.0780 TKT,0.0000 EOS
eosmykey1111,115402574645,0.016265773265455453,36103315150,13972299,3.6103 TKT,0.0013 EOS
father.game,109364442192,0.015414709987799702,34214305312,13241235,3.4214 TKT,0.0013 EOS
galaxynibiru,6166017845,0.0008690884802704677,1929018361,746547,0.1929 TKT,0.0000 EOS
hxxeoswallet,1667833610,0.00023507797315804036,521776248,201931,0.0521 TKT,0.0000 EOS
ivoyanevsfbg,669220265,9.432532271159031e-05,209363354,81025,0.0209 TKT,0.0000 EOS
porschejiu22,61231820,8.630508494416274e-06,19156173,7413,0.0019 TKT,0.0000 EOS
qibaimadeone,1228620545,0.00017317172754356886,384369888,148754,0.0384 TKT,0.0000 EOS
5tatpil1j2fk,679726103762,0.09580610069069347,212650071419,82297440,21.2650 TKT,0.0082 EOS
cc1234511.tp,530924905,7.48328549192177e-05,166098106,64281,0.0166 TKT,0.0000 EOS
eosrockygatz,582557755,8.211040686060898e-05,182251273,70532,0.0182 TKT,0.0000 EOS
qlj543543543,475049505,6.695732362962176e-05,148617672,57516,0.0148 TKT,0.0000 EOS
suneossanguo,2116592680,0.00029832971000958824,662169044,256265,0.0662 TKT,0.0000 EOS
zhuwanghu.tp,231580795500,0.032640872388023545,72449288661,28038509,7.2449 TKT,0.0028 EOS
meetzyj12345,42167580245,0.005943440183444692,13191988509,5105415,1.3191 TKT,0.0005 EOS
tossncoin123,2504612665,0.0003530203884272112,783559817,303244,0.0783 TKT,0.0000 EOS
meetddzkeos1,3852851185,0.0005430520418936479,1205351795,466481,0.1205 TKT,0.0000 EOS
mygodblessme,6045527285,0.0008521055651525278,1891323287,731958,0.1891 TKT,0.0000 EOS
nicoleou5555,31871586565,0.0044922394692784905,9970920819,3858833,0.9970 TKT,0.0003 EOS
wwwspacexcom,20036351340,0.0028240855887833954,6268306483,2425889,0.6268 TKT,0.0002 EOS
xiaojianfeng,23217205075,0.003272420869025159,7263426091,2811009,0.7263 TKT,0.0002 EOS
biduofen1234,81253497895,0.011452525889052984,25419889033,9837719,2.5419 TKT,0.0009 EOS
eosairuqixue,479463790,6.757950869923547e-05,149998666,58050,0.0149 TKT,0.0000 EOS
fudandaxueye,1752993305,0.0002470810700948846,548418178,212242,0.0548 TKT,0.0000 EOS
zhuxu1112345,33260332075,0.004687980505893726,10405385275,4026975,1.0405 TKT,0.0004 EOS
hcy233333.tp,490707350,6.916426708282556e-05,153516177,59412,0.0153 TKT,0.0000 EOS
kkkkk5555555,238075,3.3556218152721155e-08,74480,28,0.0000 TKT,0.0000 EOS
praxiongmao2,638108410,8.994016596049998e-05,199630113,77258,0.0199 TKT,0.0000 EOS
prdroedeer11,10369905,1.4616183740543688e-06,3244190,1255,0.0003 TKT,0.0000 EOS
bangbanga.tp,249076740,3.5106892467535894e-05,77922837,30156,0.0077 TKT,0.0000 EOS
fghlphfqhlqh,13865322685,0.0019542908443798525,4337720506,1678735,0.4337 TKT,0.0001 EOS
fwp543211234,58808578695,0.008288957244317503,18398070032,7120214,1.8398 TKT,0.0007 EOS
malakatalaka,5313647285,0.0007489484720448366,1662357041,643346,0.1662 TKT,0.0000 EOS
pra1xwjkzb2w,45459656200,0.006407452023920625,14221903622,5504001,1.4221 TKT,0.0005 EOS
wangvv12345v,33632069335,0.004740376165211398,10521682051,4071983,1.0521 TKT,0.0004 EOS
bianle222222,127366906440,0.017952123061799285,39846316922,15420873,3.9846 TKT,0.0015 EOS
eosdragon.tp,317780370,4.4790538361324985e-05,99416541,38475,0.0099 TKT,0.0000 EOS
grace1234555,4837677580,0.0006818614479765122,1513451487,585718,0.1513 TKT,0.0000 EOS
ooooo5555555,329025,4.6375447559378676e-08,102934,39,0.0000 TKT,0.0000 EOS
xiaohangzhou,30828347265,0.004345196875405585,9644546842,3732524,0.9644 TKT,0.0003 EOS
vickyyang.c,2163587080,0.00030495348125124,676871087,261955,0.0676 TKT,0.0000 EOS
xiang.tp,42960500,6.055200713850582e-06,13440050,5201,0.0013 TKT,0.0000 EOS
adminsssssss,37079437600,0.005226276161234112,11600179852,4489371,1.1600 TKT,0.0004 EOS
ooooo2222222,438700,6.183393007917157e-08,137245,53,0.0000 TKT,0.0000 EOS
qhyhky134eos,1080114710,0.00015224011273221947,337910327,130774,0.0337 TKT,0.0000 EOS
gallonwang12,25889248665,0.0036490403276815495,8099366122,3134525,0.8099 TKT,0.0003 EOS
sbunknown123,39728030,5.599590219291612e-06,12428783,4810,0.0012 TKT,0.0000 EOS
jdfigsuxjskk,14658465,2.066082744194173e-06,4585852,1774,0.0004 TKT,0.0000 EOS
kkkkk1111111,103790,1.4629002969950346e-08,32470,12,0.0000 TKT,0.0000 EOS
nannan255.tp,116877761710,0.016473698074734935,36564822562,14150906,3.6564 TKT,0.0014 EOS
zhangzengmin,23930339745,0.0033729358435449063,7486527923,2897351,0.7486 TKT,0.0002 EOS
chenggongzhe,8556334180,0.0012059990185095642,2676820949,1035953,0.2676 TKT,0.0001 EOS
chenxiang111,327478917314,0.04615753014724569,102450700024,39649318,10.2450 TKT,0.0039 EOS
djinzi111111,24669910370,0.003477176915609778,7717900155,2986894,0.7717 TKT,0.0002 EOS
qtdsstq2jtlq,2566095400,0.0003616862629133435,802794488,310688,0.0802 TKT,0.0000 EOS
zdyllbzdyllb,549031980,7.738501267961961e-05,171762845,66473,0.0171 TKT,0.0000 EOS
aibicid12345,78668436210,0.011088166364364962,24611161004,9524734,2.4611 TKT,0.0009 EOS
binancrcleos,7398877195,0.0010428576593116184,2314714346,895814,0.2314 TKT,0.0000 EOS
renhaishenya,115079570,1.6220246375475564e-05,36002264,13933,0.0036 TKT,0.0000 EOS
ryin52rita52,1049104505,0.00014786928335517186,328208886,127019,0.0328 TKT,0.0000 EOS
2r3v3bdwe.tp,3798968660,0.0005354574025425213,1188494825,459957,0.1188 TKT,0.0000 EOS
bianleeos.tp,995139554917,0.14026302634546545,311326130120,120485939,31.1326 TKT,0.0120 EOS
ddddd4444444,118235,1.6664998228654777e-08,36989,14,0.0000 TKT,0.0000 EOS
yoliky555555,15392398330,0.0021695292502575273,4815461089,1863625,0.4815 TKT,0.0001 EOS
zuiaimama.tp,80026561530,0.011279591543475133,25036046034,9689169,2.5036 TKT,0.0009 EOS
dappdirds111,112855575,1.5906778512866887e-05,35306494,13663,0.0035 TKT,0.0000 EOS
my5555522222,2569605,3.621809343539769e-07,803892,311,0.0000 TKT,0.0000 EOS
myfirstkey11,89908918355,0.012672490930150479,28127708798,10885669,2.8127 TKT,0.0010 EOS
wuchenfei.tp,41884560965,0.005903549154562591,13103446860,5071148,1.3103 TKT,0.0005 EOS
wzjjpeng1121,14315044755,0.0020176783142486477,4478414574,1733185,0.4478 TKT,0.0001 EOS
cc1234533333,530760125,7.480962949182211e-05,166046555,64261,0.0166 TKT,0.0000 EOS
ddddd5555555,117700,1.6589590996850907e-08,36822,14,0.0000 TKT,0.0000 EOS
hejjooneosvc,2175406835,0.00030661945322348283,680568858,263386,0.0680 TKT,0.0000 EOS
haytmobzgige,7390085005,0.0010416184168641537,2311963738,894750,0.2311 TKT,0.0000 EOS
museshengw33,15487717675,0.002182964330526327,4845281432,1875166,0.4845 TKT,0.0001 EOS
weiweiyixiao,2497430825,0.0003520081217474761,781313002,302374,0.0781 TKT,0.0000 EOS
