day,beginblock,endblock,total_lptoken,token1,token2
5,148436675,148609475,0
6,148609475,148782275,0
7,148782275,148955075,0
8,148955075,149127875,9702866863,514.4716 TKT,0.1116 EOS
9,149127875,149300675,6543230987103,20647.1032 TKT,9.2812 EOS
10,149300675,149473475,10226673338148,8239.1584 TKT,7.7619 EOS
11,149473475,149480609,445173976779,0.0000 TKT,0.0000 EOS
12,149480609,149653409,11577025775304,8397.4512 TKT,4.4341 EOS
13,149653409,149826209,12244414526412,8160.3805 TKT,3.7882 EOS
14,149826209,149999009,13006387584854,1682.5647 TKT,0.9426 EOS
15,149999009,150171809,13365274017160,8656.1827 TKT,1.0555 EOS
16,150171809,150344609,13313794101370,56703.8297 TKT,19.6334 EOS
17,150344609,150517409,10755833063290,8552.0714 TKT,3.8958 EOS
18,150517409,150690209,10912263207845,1503.9964 TKT,0.5668 EOS
19,150690209,150863009,11354256302172,969.9084 TKT,0.3904 EOS
20,150863009,151035809,10977910419543,6095.8565 TKT,1.3351 EOS
21,151035809,151208609,10478363571057,793.4517 TKT,0.3765 EOS
22,151208609,151381409,10668287844366,11.2680 TKT,0.2341 EOS
23,151381409,151554209,10587355566936,2216.8687 TKT,0.7466 EOS
24,151554209,151727009,9559521716350,1405.5587 TKT,0.1652 EOS
25,151727009,151899809,10029658186175,258.8941 TKT,0.0612 EOS
26,151899809,152072609,9841107866564,1117.2688 TKT,1.0184 EOS
27,152072609,152215761,7244785336558,2219.5239 TKT,0.5704 EOS
28,152215761,152388561,9712085494749,822.8520 TKT,0.0761 EOS
29,152388561,152516868,7094810235065,221.9588 TKT,0.0859 EOS
30,152516868,152560201,2379247858428,468.7538 TKT,0.0032 EOS
