owner,token
liuchen1oo32,0.00244408 DOP
jennifer1314,1.25603146 DOP
xieguoliang1,0.07361939 DOP
wynwym123.tp,15.68893026 DOP
huanghaonan5,5.87478731 DOP
llllllllllil,24.98737474 DOP
hecheng11.tp,0.06510270 DOP
aztkgxfn4.tp,5.70114896 DOP
bihubank4eos,0.00091523 DOP
xiaochun1111,0.87393236 DOP
gu2tqmbugmge,0.03101396 DOP
zyyyyyyyy.tp,0.09937835 DOP
g43deojqguge,0.62078594 DOP
wangdan11.tp,0.00551257 DOP
lollollol123,0.07586752 DOP
myeospocket1,0.00103485 DOP
gongzhuzhang,9.96848818 DOP
hazdqmjqgige,1.77686917 DOP
luck.tp,5.26793883 DOP
tx12345txgly,0.00028238 DOP
ha4dqnzugage,0.58736236 DOP
haqhf2besooa,1.51784619 DOP
122131231231,0.00182985 DOP
seeyouseeyou,4.71814330 DOP
ovicloudcoin,0.06631163 DOP
jesstineseos,4.48588360 DOP
eostptaiwan1,0.24509752 DOP
heydenjugmge,2.70348297 DOP
eos4simonlao,3.89886318 DOP
initialch123,0.18234614 DOP
epvroxmlf2nl,2.86046096 DOP
gaoshueng111,0.16515765 DOP
mykey4444444,3.10050994 DOP
shang5555555,0.12157330 DOP
binancrcleos,0.01133608 DOP
tony11lynx11,0.55469780 DOP
mouthgeneral,3.72959427 DOP
yalin1234.tp,0.01278115 DOP
g44dsmzygege,7.90976793 DOP
chutianhaoqi,0.01508858 DOP
cloudstyl.tp,0.03304866 DOP
go12xytiussn,45.18686845 DOP
ieosblochain,7.64551592 DOP
tongzhang112,0.18031059 DOP
zhaoruijuan1,0.00640330 DOP
jaredailsa12,0.21372324 DOP
wubintokenop,0.06650070 DOP
welovetaotao,58.17747569 DOP
pa3pys4umk5w,3.89685291 DOP
sunjiupeng12,0.02157276 DOP
mantocapital,0.51676054 DOP
liyueeos1.tp,1.06508437 DOP
qinyqewq1.tp,1.11564378 DOP
zailushang55,1.46557782 DOP
eosworld1115,69.47490851 DOP
feng52o13.tp,0.00073932 DOP
iehongfeieos,0.86251277 DOP
521forest521,0.02590782 DOP
luzisqyong11,1.10518310 DOP
vimchain.io,13.03338248 DOP
hejwxjmoarwj,28.23693492 DOP
dice13245253,0.00058288 DOP
eosyaogunyue,0.97788676 DOP
