owner,token
eoslilike413,0.0111 EOS
mykeybihu111,0.3537 EOS
aabbss112233,0.5690 EOS
ryososoyy111,0.0680 EOS
hecongqiang1,4.8593 EOS
2awmtshfknxo,3.3976 EOS
jmbvd4l2jh44,0.0391 EOS
wanghaoyu555,13.0674 EOS
playgame5551,1.3915 EOS
gallonwang12,0.1142 EOS
5kwx5tzuf2aa,0.0020 EOS
tptptptp..tp,0.0756 EOS
sleepingnoon,21.5364 EOS
eosalcatrazz,0.0371 EOS
ququdada1234,0.0226 EOS
dengyuhui123,0.2141 EOS
epn5no4tigdv,0.0006 EOS
lukykazan123,54.7438 EOS
wenquanijl12,4.9223 EOS
ayt5gh2qorfx,0.1883 EOS
laqxjj123123,39.4522 EOS
eoseoseosmmm,1.2334 EOS
lztchinaeos1,0.6564 EOS
guowanqingqq,0.0937 EOS
nmy2121eosup,0.0339 EOS
wangwenbo123,0.3374 EOS
omgnoob4ever,1.0164 EOS
bsctothemoon,5.5250 EOS
3acyjcbcspbc,0.0203 EOS
satoshi13131,0.0975 EOS
majinxiang11,0.7126 EOS
moondogs1431,0.0970 EOS
ymgduowcsamq,3.6906 EOS
yangchao1313,2.7076 EOS
daheso123451,0.0295 EOS
kccze4nqtoql,3.0571 EOS
prashihaodyz,0.1769 EOS
dpxwygrdtmv2,0.0287 EOS
ttaqt1234123,0.2934 EOS
shanhu111222,0.0493 EOS
gezdqnbthage,1.1692 EOS
fortunately1,25.9329 EOS
kylehongmoac,2.0097 EOS
smokey423423,81.7339 EOS
g42dcojzgyge,10.8084 EOS
gu4tqobrg4ge,16.1582 EOS
zhusiweieos1,0.0197 EOS
fanminde1234,0.1277 EOS
liliboybaofu,0.0020 EOS
praloveu1314,0.8509 EOS
sos111222333,0.0002 EOS
quersong1111,1.4782 EOS
3aoogcfvxfb2,0.1475 EOS
guytqnbwguge,1.6421 EOS
summerpocket,0.2768 EOS
we.bank,126.4428 EOS
gizdqnrxgmge,0.0382 EOS
mmxjdwin1234,0.0224 EOS
lwlwlwlw1314,0.0002 EOS
guydqnbwgege,19.8034 EOS
yangyunxi.tp,0.0041 EOS
k5fs422faru3,0.0964 EOS
zzzzzzzzzzi1,0.0243 EOS
eosluckone11,0.0291 EOS
wangyi343434,0.0164 EOS
nidahaichenl,7.4805 EOS
