owner,token
dawannardis1,0.00000048 PBTC
yuyong521521,0.00001465 PBTC
eosbetterone,0.00002381 PBTC
epeac12345zy,0.00000596 PBTC
alohadog2222,0.00107151 PBTC
dhedgeinvest,0.00000069 PBTC
jungyublee11,0.00066713 PBTC
funnycapital,0.00000341 PBTC
wushunpen123,0.00000085 PBTC
zhouyutin.m,0.00000220 PBTC
larkspur5555,0.00004133 PBTC
sakatsukieos,0.00023488 PBTC
emilmihaylov,0.00000100 PBTC
icenine22.tp,0.00000057 PBTC
focusandview,0.00000851 PBTC
eosjammygu12,0.00059808 PBTC
mykeybihu111,0.00005176 PBTC
moondogs1431,0.00000012 PBTC
gu4tqobrg4ge,0.00117747 PBTC
kylehongmoac,0.00017762 PBTC
anwang555555,0.00000702 PBTC
artclimber12,0.00463737 PBTC
1rwk5c5eosda,0.00048123 PBTC
geytomrsgmge,0.00001595 PBTC
exchangetran,0.00000465 PBTC
zhangp332233,0.00008786 PBTC
jesstineseos,0.00443527 PBTC
hejwxjmoarwj,0.00000018 PBTC
alannice1.m,0.01190812 PBTC
hiroyama1234,0.00000291 PBTC
wwiinnwwiinn,0.00070541 PBTC
imrealwjdadi,0.00146164 PBTC
manto11chris,0.00103816 PBTC
liuhong51222,0.00004861 PBTC
rr1111111122,0.00000001 PBTC
imkeymiao325,0.00098421 PBTC
qinhuang5211,0.00004312 PBTC
gezdqojug4ge,0.00000004 PBTC
fastecoadmin,0.00176620 PBTC
zack.vr,0.00002387 PBTC
ilovelilli14,0.00000001 PBTC
aprilsummers,0.00073778 PBTC
jiaxueyifang,0.00000245 PBTC
throne2thorn,0.00000028 PBTC
chencho14141,0.00000001 PBTC
haztqnjuhage,0.00099228 PBTC
runningbank1,0.00013099 PBTC
lovetomorrow,0.00145637 PBTC
g4ztgobrgmge,0.00000572 PBTC
tlsodo123123,0.00001802 PBTC
111eosxhm111,0.01197255 PBTC
tumaoran1234,0.00011401 PBTC
gq4tiojqgqge,0.00031975 PBTC
ggkyoik4qxhe,0.00001092 PBTC
depurantsave,0.00019175 PBTC
cassiecheng1,0.00000274 PBTC
lovepeace.tp,0.00000023 PBTC
timesonmysid,0.00014826 PBTC
tanduoroueos,0.00000003 PBTC
gu3tambqgqge,0.00006521 PBTC
gm3dmnrtg4ge,0.00994103 PBTC
xuejingfu123,0.00314887 PBTC
joe23333deli,0.00084579 PBTC
lianjie12345,0.00000266 PBTC
liujinzhoutp,0.00005673 PBTC
singerxue222,0.00073930 PBTC
whowhatwhere,0.00000011 PBTC
chizhenhong1,0.00000088 PBTC
liuyonghannn,0.00000084 PBTC
izmraegivxqz,0.00725685 PBTC
comefromhere,0.01472540 PBTC
hurseybabubi,0.00000023 PBTC
wangpengjie1,0.00080451 PBTC
haytgnzzhege,0.00008781 PBTC
zhoupeng3333,0.00108715 PBTC
